Provider.ID,Hospital.name,PAYM_30_AMI,PAYM_30_HF,PAYM_30_PN,PAYM_90_HIP_KNEE,HAI.2.Measure.Score,Combined.SSI.Measure.Score,HAI.3.Measure.Score,HAI.4.Achievement.Threshold,HAI.4.Benchmark,HAI.4.Baseline.Rate,HAI.4.Performance.Rate,HAI.5.Improvement.Points,HAI.5.Measure.Score,ED_1b,ED_2b,EDV,OP_22,OP_29,OP_30,lat,adress_search,geoAddress,ZIP.Code
10021,DALE MEDICAL CENTER,Not Available,"$16,503","$17,207","$23,141",Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,195,60,"Low (0 - 19,999 patients annually)",2,42,95,31.4516631,"DALE MEDICAL CENTER, 126 HOSPITAL AVE, OZARK, AL","126 hospital ave, ozark, al 36360, usa",36360
10022,CHEROKEE MEDICAL CENTER,Not Available,"$16,814","$14,129",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,239,79,"Low (0 - 19,999 patients annually)",1,Not Available,100,34.1615289,"CHEROKEE MEDICAL CENTER, 400 NORTHWOOD DR, CENTRE, AL","400 northwood dr, centre, al 35960, usa",35960
10023,BAPTIST MEDICAL CENTER SOUTH,"$22,007","$16,705","$18,688","$22,207",2 out of 10,10 out of 10,10 out of 10,0.71,0,Not Available,0,5 out of 9,5 out of 10,448,262,"Low (0 - 19,999 patients annually)",2,Not Available,88,32.3279556,"BAPTIST MEDICAL CENTER SOUTH, 2105 EAST SOUTH BOULEVARD, MONTGOMERY, AL","2105 e south blvd, montgomery, al 36116, usa",36116
10024,JACKSON HOSPITAL & CLINIC INC,"$24,419","$16,683","$17,710","$23,562",5 out of 10,0 out of 10,0 out of 10,0.71,0,0,1.296,0 out of 9,0 out of 10,467,325,"High (40,000 - 59,999 patients annually)",3,100,100,32.3670854,"JACKSON HOSPITAL & CLINIC INC, 1725 PINE STREET, MONTGOMERY, AL","1725 pine st, montgomery, al 36106, usa",36106
10029,EAST ALABAMA MEDICAL CENTER,"$22,508","$14,167","$16,053","$21,053",0 out of 10,7 out of 10,10 out of 10,0.71,0,0,0.573,0 out of 9,0 out of 10,241,60,"Very High (60,000+ patients annually)",5,100,99,32.6401629,"EAST ALABAMA MEDICAL CENTER, 2000 PEPPERELL PARKWAY, OPELIKA, AL","2000 pepperell pkwy, opelika, al 36801, usa",36801
10032,WEDOWEE HOSPITAL,Not Available,"$18,348","$14,899",Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,75,"Low (0 - 19,999 patients annually)",1,22,83,33.3111634,"WEDOWEE HOSPITAL, 209 NORTH MAIN STREET, WEDOWEE, AL","209 main st s, wedowee, al 36278, usa",36278
10033,UNIVERSITY OF ALABAMA HOSPITAL,"$20,196","$15,933","$17,545","$24,341",8 out of 10,1 out of 10,1 out of 10,0.71,0,0.276,0.596,0 out of 9,0 out of 10,403,121,"Very High (60,000+ patients annually)",5,91,95,33.5056131,"UNIVERSITY OF ALABAMA HOSPITAL, 619 SOUTH 19TH STREET, BIRMINGHAM, AL","619 19th st s, birmingham, al 35249, usa",35233
10034,COMMUNITY HOSPITAL INC,Not Available,"$15,277","$17,872",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,261,70,"Low (0 - 19,999 patients annually)",3,99,94,32.534053,"COMMUNITY HOSPITAL INC, 805 FRIENDSHIP ROAD, TALLASSEE, AL","805 friendship rd, tallassee, al 36078, usa",36078
10035,CULLMAN REGIONAL MEDICAL CENTER,"$21,390","$15,111","$17,113","$21,582",7 out of 10,6 out of 10,6 out of 10,0.71,0,Not Available,Not Available,5 out of 9,5 out of 10,236,84,"High (40,000 - 59,999 patients annually)",2,89,100,34.200636,"CULLMAN REGIONAL MEDICAL CENTER, 1912 ALABAMA HIGHWAY 157, CULLMAN, AL","1912 al-157, cullman, al 35058, usa",35058
10036,ANDALUSIA REGIONAL HOSPITAL,"$22,218","$13,670","$15,518","$21,911",10 out of 10,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,178,52,"Medium (20,000 - 39,999 patients annually)",1,96,100,31.2964012,"ANDALUSIA REGIONAL HOSPITAL, 849 SOUTH THREE NOTCH STREET, ANDALUSIA, AL","849 s 3 notch st, andalusia, al 36420, usa",36420
10038,STRINGFELLOW MEMORIAL HOSPITAL,"$23,850","$16,651","$15,717","$24,016",10 out of 10,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,212,73,"Medium (20,000 - 39,999 patients annually)",1,100,100,33.6682403,"STRINGFELLOW MEMORIAL HOSPITAL, 301 EAST 18TH ST, ANNISTON, AL","301 e 18th st, anniston, al 36207, usa",36201
10039,HUNTSVILLE HOSPITAL,"$22,338","$16,333","$16,787","$21,675",3 out of 10,1 out of 10,0 out of 10,0.71,0,0.327,0.499,0 out of 9,0 out of 10,352,126,"Very High (60,000+ patients annually)",1,88,100,34.7211278,"HUNTSVILLE HOSPITAL, 101 SIVLEY RD, HUNTSVILLE, AL","101 sivley rd sw, huntsville, al 35801, usa",35801
10040,GADSDEN REGIONAL MEDICAL CENTER,"$21,954","$17,144","$18,074","$25,202",7 out of 10,10 out of 10,10 out of 10,0.71,0,0,0,3 out of 9,3 out of 10,334,88,"High (40,000 - 59,999 patients annually)",3,58,22,34.007668,"GADSDEN REGIONAL MEDICAL CENTER, 1007 GOODYEAR AVENUE, GADSDEN, AL","1007 goodyear ave, gadsden, al 35903, usa",35903
10044,MARION REGIONAL MEDICAL CENTER,Not Available,"$15,030","$15,457",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,185,31,"Low (0 - 19,999 patients annually)",2,Not Available,75,34.1267533,"MARION REGIONAL MEDICAL CENTER, 1256 MILITARY STREET SOUTH, HAMILTON, AL","1200 military st s, hamilton, al 35570, usa",35570
10045,FAYETTE MEDICAL CENTER,Not Available,"$14,143","$14,738",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,279,102,"Low (0 - 19,999 patients annually)",1,100,98,33.7086413,"FAYETTE MEDICAL CENTER, 1653 TEMPLE AVENUE NORTH, FAYETTE, AL","1653 temple ave n, fayette, al 35555, usa",35555
10046,RIVERVIEW REGIONAL MEDICAL CENTER,"$24,336","$15,391","$18,096","$24,384",0 out of 10,10 out of 10,10 out of 10,0.71,0,Not Available,Not Available,0 out of 9,0 out of 10,176,49,"Medium (20,000 - 39,999 patients annually)",3,32,67,34.0043479,"RIVERVIEW REGIONAL MEDICAL CENTER, 600 SOUTH THIRD STREET, GADSDEN, AL","600 s 3rd st, gadsden, al 35901, usa",35901
10047,GEORGIANA MEDICAL CENTER,Not Available,Not Available,"$13,791",Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,31,"Low (0 - 19,999 patients annually)",2,Not Available,Not Available,31.6363022,"GEORGIANA MEDICAL CENTER, 515 N MIRANDA AVENUE, GEORGIANA, AL","515 miranda ave, georgiana, al 36033, usa",36033
10049,MEDICAL CENTER ENTERPRISE,Not Available,"$14,599","$15,003","$22,829",Not Available,10 out of 10,Not Available,0.71,0,0.844,0,Not Available,Not Available,258,68,"Medium (20,000 - 39,999 patients annually)",3,100,100,31.318647,"MEDICAL CENTER ENTERPRISE, 400 N EDWARDS STREET, ENTERPRISE, AL","400 n edwards st, enterprise, al 36330, usa",36330
10051,GREENE COUNTY HOSPITAL,Not Available,"$14,241","$15,673",Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,23,"Low (0 - 19,999 patients annually)",1,Not Available,Not Available,32.8430658,"GREENE COUNTY HOSPITAL, 509 WILSON AVENUE, EUTAW, AL","509 wilson ave, eutaw, al 35462, usa",35462
10052,LAKE MARTIN COMMUNITY HOSPITAL,Not Available,"$14,236","$13,438",Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,94,"Low (0 - 19,999 patients annually)",1,48,89,32.8186652,"LAKE MARTIN COMMUNITY HOSPITAL, 201 MARIARDEN ROAD, DADEVILLE, AL","201 mariarden rd, dadeville, al 36853, usa",36853
10055,FLOWERS HOSPITAL,"$21,570","$15,286","$16,588","$25,398",6 out of 10,4 out of 10,0 out of 10,0.71,0,0.492,0,2 out of 9,2 out of 10,250,80,"High (40,000 - 59,999 patients annually)",1,100,100,31.2379068,"FLOWERS HOSPITAL, 4370 WEST MAIN STREET, DOTHAN, AL","4370 w main st, dothan, al 36305, usa",36305
10056,ST VINCENT'S BIRMINGHAM,"$23,104","$16,878","$17,036","$22,707",2 out of 10,2 out of 10,3 out of 10,0.71,0,0.468,1.171,0 out of 9,0 out of 10,290,103,"High (40,000 - 59,999 patients annually)",2,89,32,33.5082151,"ST VINCENT'S BIRMINGHAM, 810 ST VINCENT'S DRIVE, BIRMINGHAM, AL","810 st vincents dr, birmingham, al 35205, usa",35205
10058,BIBB MEDICAL CENTER,Not Available,"$15,375","$14,321",Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,52,"Low (0 - 19,999 patients annually)",1,62,90,32.9513045,"BIBB MEDICAL CENTER, 208 PIERSON AVE, CENTREVILLE, AL","208 pierson ave, centreville, al 35042, usa",35042
10059,LAWRENCE MEDICAL CENTER,Not Available,"$15,423","$16,828",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,183,50,"Low (0 - 19,999 patients annually)",1,92,Not Available,34.4833582,"LAWRENCE MEDICAL CENTER, 202 HOSPITAL STREET, MOULTON, AL","202 hospital st, moulton, al 35650, usa",35650
10061,HIGHLANDS MEDICAL CENTER,Not Available,"$14,369","$14,465","$24,717",10 out of 10,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,292,89,"Low (0 - 19,999 patients annually)",5,36,70,34.6623614,"HIGHLANDS MEDICAL CENTER, 380 WOODS COVE ROAD, SCOTTSBORO, AL","380 woods cove rd, scottsboro, al 35768, usa",35768
10062,WIREGRASS MEDICAL CENTER,Not Available,"$13,832","$14,818",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,180,60,"Low (0 - 19,999 patients annually)",4,100,100,31.0488668,"WIREGRASS MEDICAL CENTER, 1200 W MAPLE AVENUE, GENEVA, AL","1200 w maple ave, geneva, al 36340, usa",36340
10065,RUSSELL HOSPITAL,"$23,486","$17,238","$19,034","$25,803",10 out of 10,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,265,70,"Medium (20,000 - 39,999 patients annually)",1,100,100,32.8858939,"RUSSELL HOSPITAL, 3316 HIGHWAY 280, ALEXANDER CITY, AL","3316 highway 280 west, alexander city, al 36861, usa",35010
10069,MEDICAL CENTER BARBOUR,Not Available,"$13,962","$13,055",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,187,46,"Low (0 - 19,999 patients annually)",3,95,7,31.8887641,"MEDICAL CENTER BARBOUR, 820 W WASHINGTON ST, EUFAULA, AL","820 w washington st, eufaula, al 36027, usa",36027
10073,CLAY COUNTY HOSPITAL,Not Available,"$13,766","$14,683",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,211,65,"Low (0 - 19,999 patients annually)",3,65,62,33.2771472,"CLAY COUNTY HOSPITAL, 83825 HIGHWAY 9    P O BOX 1270, ASHLAND, AL","83825 al-9, ashland, al 36251, usa",36251
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,"$24,704","$14,993","$16,599","$24,259",5 out of 10,10 out of 10,10 out of 10,0.71,0,Not Available,Not Available,0 out of 9,0 out of 10,335,90,"High (40,000 - 59,999 patients annually)",4,84,72,33.6563953,"NORTHEAST ALABAMA REGIONAL MEDICAL CENTER, 400 EAST 10TH STREET, ANNISTON, AL","400 e 10th st, anniston, al 36207, usa",36207
10079,ATHENS LIMESTONE HOSPITAL,Not Available,"$14,822","$15,634","$23,114",10 out of 10,1 out of 10,1 out of 10,0.71,0,Not Available,Not Available,Not Available,Not Available,234,66,"Medium (20,000 - 39,999 patients annually)",3,95,100,34.8042607,"ATHENS LIMESTONE HOSPITAL, 700 WEST MARKET STREET, ATHENS, AL","700 market st w, athens, al 35611, usa",35611
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,"$23,761","$15,437","$14,807","$21,267",3 out of 10,0 out of 10,0 out of 10,0.71,0,Not Available,Not Available,Not Available,10 out of 10,263,88,"Medium (20,000 - 39,999 patients annually)",6,100,100,30.4260938,"SOUTH BALDWIN REGIONAL MEDICAL CENTER, 1613 NORTH MCKENZIE STREET, FOLEY, AL","1613 n mckenzie st, foley, al 36535, usa",36535
10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,"$22,493","$14,544","$15,670","$22,797",10 out of 10,8 out of 10,10 out of 10,0.71,0,1.54,1.957,3 out of 9,3 out of 10,329,150,"Very High (60,000+ patients annually)",2,Not Available,73,34.5904135,"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS, 1201 7TH STREET SE, DECATUR, AL","1201 7th st se, decatur, al 35601, usa",35601
10086,NORTHWEST MEDICAL CENTER,Not Available,"$14,481","$14,090",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,236,64,"Low (0 - 19,999 patients annually)",1,100,100,33.9303808,"NORTHWEST MEDICAL CENTER, 1530 U S HIGHWAY 43, WINFIELD, AL","1530 us-43, winfield, al 35594, usa",35594
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,Not Available,"$15,200","$17,200",Not Available,5 out of 10,0 out of 10,0 out of 10,0.71,0,Not Available,Not Available,1 out of 9,1 out of 10,516,280,"Medium (20,000 - 39,999 patients annually)",9,100,99,30.7070384,"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER, 2451 FILLINGIM STREET, MOBILE, AL","2451 usa medical center dr, mobile, al 36617, usa",36617
10089,WALKER BAPTIST MEDICAL CENTER,"$24,201","$15,779","$15,862","$21,506",10 out of 10,10 out of 10,10 out of 10,0.71,0,Not Available,Not Available,0 out of 9,0 out of 10,230,68,"Medium (20,000 - 39,999 patients annually)",1,94,100,33.8422088,"WALKER BAPTIST MEDICAL CENTER, 3400 HIGHWAY 78 EAST, JASPER, AL","3400 hwy 78, jasper, al 35501, usa",35502
10090,PROVIDENCE HOSPITAL,"$24,776","$14,836","$16,318","$22,906",6 out of 10,3 out of 10,0 out of 10,0.71,0,0,0,5 out of 9,5 out of 10,315,122,"High (40,000 - 59,999 patients annually)",2,95,100,30.6790757,"PROVIDENCE HOSPITAL, 6801 AIRPORT BOULEVARD, MOBILE, AL","6801 airport blvd, mobile, al 36608, usa",36608
10091,GROVE HILL MEMORIAL HOSPITAL,Not Available,"$16,043","$14,967",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,281,80,"Low (0 - 19,999 patients annually)",2,100,100,31.6942828,"GROVE HILL MEMORIAL HOSPITAL, 295 JACKSON HWY S, GROVE HILL, AL","295 s jackson st, grove hill, al 36451, usa",36451
10092,D C H REGIONAL MEDICAL CENTER,"$23,240","$16,352","$16,608","$24,909",7 out of 10,4 out of 10,4 out of 10,0.71,0,0.652,0.554,1 out of 9,1 out of 10,331,122,"Very High (60,000+ patients annually)",3,83,100,33.2047953,"D C H REGIONAL MEDICAL CENTER, 809 UNIVERSITY BOULEVARD EAST, TUSCALOOSA, AL","809 university blvd e, tuscaloosa, al 35401, usa",35401
10095,HALE COUNTY HOSPITAL,Not Available,Not Available,"$16,744",Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,55,"Low (0 - 19,999 patients annually)",2,Not Available,Not Available,32.6955444,"HALE COUNTY HOSPITAL, 508 GREEN STREET, GREENSBORO, AL","508 green st, greensboro, al 36744, usa",36744
10097,ELMORE COMMUNITY HOSPITAL,Not Available,"$14,875","$14,705",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,176,55,"Low (0 - 19,999 patients annually)",2,76,Not Available,32.5523616,"ELMORE COMMUNITY HOSPITAL, 500 HOSPITAL DRIVE, WETUMPKA, AL","500 hospital dr, wetumpka, al 36092, usa",36092
10099,D W MCMILLAN MEMORIAL HOSPITAL,"$23,097","$15,391","$16,120",Not Available,10 out of 10,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,195,68,"Low (0 - 19,999 patients annually)",2,100,83,31.1268079,"D W MCMILLAN MEMORIAL HOSPITAL, 1301 BELLEVILLE AVENUE, BREWTON, AL","1301 belleville ave, brewton, al 36426, usa",36426
10100,THOMAS HOSPITAL,"$22,501","$16,517","$16,117","$20,178",7 out of 10,3 out of 10,0 out of 10,0.71,0,Not Available,0,0 out of 9,0 out of 10,318,101,"Medium (20,000 - 39,999 patients annually)",2,95,86,30.518813,"THOMAS HOSPITAL, 750 MORPHY AVENUE, FAIRHOPE, AL","750 morphy ave, fairhope, al 36532, usa",36532
10101,CITIZENS BAPTIST MEDICAL CENTER,Not Available,"$14,951","$17,445",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,208,60,"Medium (20,000 - 39,999 patients annually)",1,93,100,33.440248,"CITIZENS BAPTIST MEDICAL CENTER, 604 STONE AVENUE, TALLADEGA, AL","604 stone ave, talladega, al 35160, usa",35161
10102,J PAUL JONES HOSPITAL,Not Available,Not Available,"$14,309",Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,Not Available,"Low (0 - 19,999 patients annually)",4,Not Available,Not Available,31.9980953,"J PAUL JONES HOSPITAL, 317 MCWILLIAMS AVENUE, CAMDEN, AL","317 mc williams ave, camden, al 36726, usa",36726
10103,PRINCETON BAPTIST MEDICAL CENTER,"$23,706","$16,982","$17,605","$24,552",2 out of 10,8 out of 10,8 out of 10,0.71,0,Not Available,Not Available,3 out of 9,3 out of 10,342,144,"High (40,000 - 59,999 patients annually)",4,97,100,33.4985089,"PRINCETON BAPTIST MEDICAL CENTER, 701 PRINCETON AVENUE SOUTHWEST, BIRMINGHAM, AL","701 princeton ave sw, birmingham, al 35211, usa",35211
10104,GRANDVIEW MEDICAL CENTER,"$20,624","$16,908","$19,086","$20,921",6 out of 10,10 out of 10,10 out of 10,0.71,0,Not Available,0,6 out of 9,6 out of 10,229,79,"Medium (20,000 - 39,999 patients annually)",2,100,100,33.4325619,"GRANDVIEW MEDICAL CENTER, 3690 GRANDVIEW PARKWAY, BIRMINGHAM, AL","3690 grandview pkwy, birmingham, al 35243, usa",35243
10108,PRATTVILLE BAPTIST HOSPITAL,"$26,452","$14,785","$16,714",Not Available,10 out of 10,0 out of 10,0 out of 10,0.71,0,Not Available,Not Available,Not Available,Not Available,355,153,"Medium (20,000 - 39,999 patients annually)",2,95,97,32.463778,"PRATTVILLE BAPTIST HOSPITAL, 124 S MEMORIAL DR, PRATTVILLE, AL","124 s memorial dr, prattville, al 36067, usa",36067
10109,PICKENS COUNTY MEDICAL CENTER,Not Available,"$14,169","$14,333",Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,96,"Low (0 - 19,999 patients annually)",1,100,50,33.27455,"PICKENS COUNTY MEDICAL CENTER, 241 ROBERT K WILSON DRIVE, CARROLLTON, AL","241 robert k wilson dr, carrollton, al 35447, usa",35447
10110,BULLOCK COUNTY HOSPITAL,Not Available,Not Available,"$14,452",Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,51,"Low (0 - 19,999 patients annually)",1,Not Available,Not Available,32.1466768,"BULLOCK COUNTY HOSPITAL, 102 WEST CONECUH AVENUE, UNION SPRINGS, AL","102 w conecuh ave, union springs, al 36089, usa",36089
10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,Not Available,"$15,298","$15,987",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,200,47,"Low (0 - 19,999 patients annually)",4,65,65,32.504412,"BRYAN W. WHITFIELD MEMORIAL HOSPITAL, 105 HIGHWAY 80 EAST, DEMOPOLIS, AL","105 highway 80 east, demopolis, al 36732, usa",36732
10113,MOBILE INFIRMARY MEDICAL CENTER,"$22,833","$16,884","$17,401","$22,943",7 out of 10,4 out of 10,3 out of 10,0.71,0,0,0,2 out of 9,2 out of 10,366,125,"High (40,000 - 59,999 patients annually)",2,94,71,30.6963935,"MOBILE INFIRMARY MEDICAL CENTER, 5 MOBILE INFIRMARY CIRCLE, MOBILE, AL","5 mobile infirmary cir, mobile, al 36607, usa",36652
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","$21,844","$15,521","$17,354","$23,351",7 out of 10,7 out of 10,7 out of 10,0.71,0,Not Available,Not Available,0 out of 9,0 out of 10,244,82,"Very High (60,000+ patients annually)",1,93,99,33.372273,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM, 995 9TH AVENUE SOUTHWEST, BESSEMER, AL","995 9th ave sw, bessemer, al 35022, usa",35021
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,"$23,872","$14,843","$16,052",Not Available,4 out of 10,10 out of 10,10 out of 10,0.71,0,Not Available,0,Not Available,Not Available,262,93,"Medium (20,000 - 39,999 patients annually)",1,85,100,32.4292722,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS, 1015 MEDICAL CENTER PARKWAY, SELMA, AL","1015 medical center pkwy, selma, al 36701, usa",36701
10120,MONROE COUNTY HOSPITAL,Not Available,"$14,264","$16,158",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,236,55,"Low (0 - 19,999 patients annually)",4,90,92,31.498023,"MONROE COUNTY HOSPITAL, 2016 SOUTH ALABAMA AVENUE, BOX 886, MONROEVILLE, AL","2016 s alabama ave, monroeville, al 36460, usa",36460
10125,LAKELAND COMMUNITY HOSPITAL,Not Available,"$14,662","$13,412",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,143,39,"Low (0 - 19,999 patients annually)",0,Not Available,Not Available,34.241867,"LAKELAND COMMUNITY HOSPITAL, 42024 HIGHWAY 195 E, HALEYVILLE, AL","42024 al-195, haleyville, al 35565, usa",35565
10126,TROY REGIONAL MEDICAL CENTER,Not Available,"$14,702","$16,012",Not Available,10 out of 10,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,240,113,"Low (0 - 19,999 patients annually)",2,94,100,31.7815466,"TROY REGIONAL MEDICAL CENTER, 1330 HIGHWAY 231 SOUTH, TROY, AL","1330 u.s. 231, troy, al 36081, usa",36081
10128,JACKSON MEDICAL CENTER,Not Available,"$15,878","$13,763",Not Available,Not Available,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,218,55,"Low (0 - 19,999 patients annually)",4,100,Not Available,31.5311947,"JACKSON MEDICAL CENTER, 220 HOSPITAL DRIVE, JACKSON, AL","220 hospital dr, jackson, al 36545, usa",36545
10129,NORTH BALDWIN INFIRMARY,Not Available,"$13,243","$14,599",Not Available,10 out of 10,Not Available,Not Available,0.71,0,Not Available,Not Available,Not Available,Not Available,312,89,"Low (0 - 19,999 patients annually)",3,68,97,30.9036609,"NORTH BALDWIN INFIRMARY, 1815 HAND AVENUE, BAY MINETTE, AL","1815 hand ave, bay minette, al 36507, usa",36507
